Date,LO_1,LO_2,OS_1,OS_2,DQS_1,DQS_2,Other
28-Mar-21,Satya Gontcho A Gontcho,,John Della Costa,Ting Li,Johannes Ulf Lange,,
29-Mar-21,None,,,,,,
30-Mar-21,None,,,,,,
31-Mar-21,None,,,,,,
1-Apr-21,Martin Landriau,,Paul Martini,Dustin Lang,Nikhil Padmanabhan,,
2-Apr-21,Martin Landriau,,Paul Martini,Daniel Eisenstein,Anthony Carr ,,
3-Apr-21,Martin Landriau,,Segev BenZvi,Luke Tyas,Anthony Carr,,
4-Apr-21,Martin Landriau,,Segev BenZvi,Luke Tyas,Anthony Carr,,
5-Apr-21,Martin Landriau,,Elizabeth Buckley-Geer,Luke Tyas,Anthony Carr,,
6-Apr-21,Martin Landriau,,Elizabeth Buckley-Geer,Luke Tyas,Andrej Obuljen ,,
7-Apr-21,Martin Landriau,,Elizabeth Buckley-Geer,Luke Tyas,Andrej Obuljen,,
8-Apr-21,Martin Landriau,,Christopher James Manser,Luke Tyas,Andrej Obuljen,,
9-Apr-21,Martin Landriau,,Christopher James Manser,Daniel Eisenstein,Andrej Obuljen,,
10-Apr-21,Martin Landriau,,Christopher James Manser,Dustin Lang,Davide Bianchi ,,
11-Apr-21,Parker Fagrelius,Luke Tyas,Christopher James Manser,Michael Walther,Davide Bianchi,,
12-Apr-21,Martin Landriau,,Claire Poppett,Michael Walther,Davide Bianchi,,
